Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance
Simulation_283	1.821	0.595	0.159	0.05	1.255	0.385	283	0.05	12000	1000	1	500	111
Simulation_284	1.57	0.222	0.19	0.105	2.824	0.498	284	0.05	12000	1000	1	500	111
Simulation_285	2.576	0.72	0.065	0.032	1.569	0.95	285	0.05	12000	1000	1	500	111
Simulation_286	2.073	0.471	0.127	0.141	0.941	0.272	286	0.05	12000	1000	1	500	111
Simulation_287	1.067	0.969	0.253	0.069	2.196	0.724	287	0.05	12000	1000	1	500	111
Simulation_288	1.098	0.238	0.108	0.13	1.451	0.427	288	0.05	12000	1000	1	500	111
Simulation_289	2.104	0.735	0.233	0.057	2.706	0.88	289	0.05	12000	1000	1	500	111
Simulation_290	2.607	0.487	0.296	0.094	2.078	0.201	290	0.05	12000	1000	1	500	111
Simulation_291	1.601	0.984	0.171	0.021	0.824	0.653	291	0.05	12000	1000	1	500	111
Simulation_292	1.853	0.362	0.202	0.148	1.765	0.767	292	0.05	12000	1000	1	500	111
Simulation_293	2.859	0.86	0.076	0.076	0.51	0.314	293	0.05	12000	1000	1	500	111
Simulation_294	2.356	0.113	0.139	0.112	1.137	0.993	294	0.05	12000	1000	1	500	111
Simulation_295	1.35	0.611	0.265	0.039	2.392	0.54	295	0.05	12000	1000	1	500	111
Simulation_296	1.475	0.424	0.155	0.066	2.863	0.484	296	0.05	12000	1000	1	500	111
Simulation_297	2.481	0.922	0.28	0.139	1.608	0.936	297	0.05	12000	1000	1	500	111
Simulation_298	2.984	0.175	0.218	0.03	0.98	0.257	298	0.05	12000	1000	1	500	111
Simulation_299	1.978	0.673	0.092	0.103	2.235	0.71	299	0.05	12000	1000	1	500	111
Simulation_300	1.727	0.051	0.249	0.048	0.667	0.597	300	0.05	12000	1000	1	500	111
Simulation_301	2.733	0.549	0.124	0.121	1.922	0.144	301	0.05	12000	1000	1	500	111
Simulation_302	2.23	0.3	0.061	0.012	2.549	0.823	302	0.05	12000	1000	1	500	111
Simulation_303	1.224	0.798	0.186	0.085	1.294	0.371	303	0.05	12000	1000	1	500	111
Simulation_304	1.161	0.269	0.273	0.107	0.902	0.116	304	0.05	12000	1000	1	500	111
Simulation_305	2.167	0.767	0.147	0.035	2.157	0.569	305	0.05	12000	1000	1	500	111
Simulation_306	2.67	0.02	0.084	0.144	2.784	0.342	306	0.05	12000	1000	1	500	111
Simulation_307	1.664	0.518	0.21	0.071	1.529	0.795	307	0.05	12000	1000	1	500	111
Simulation_308	1.916	0.144	0.116	0.089	2.471	0.908	308	0.05	12000	1000	1	500	111
Simulation_309	2.921	0.642	0.241	0.016	1.216	0.455	309	0.05	12000	1000	1	500	111
Simulation_310	2.418	0.393	0.178	0.126	0.588	0.682	310	0.05	12000	1000	1	500	111
Simulation_311	1.413	0.891	0.053	0.053	1.843	0.229	311	0.05	12000	1000	1	500	111
Simulation_312	1.287	0.082	0.225	0.007	2.314	0.286	312	0.05	12000	1000	1	500	111
Simulation_313	2.293	0.58	0.1	0.08	1.059	0.738	313	0.05	12000	1000	1	500	111
Simulation_314	2.796	0.331	0.163	0.044	1.686	0.512	314	0.05	12000	1000	1	500	111
Simulation_315	1.79	0.829	0.288	0.116	2.941	0.965	315	0.05	12000	1000	1	500	111
Simulation_316	1.538	0.455	0.069	0.025	1.373	0.851	316	0.05	12000	1000	1	500	111
Simulation_317	2.544	0.953	0.194	0.098	2.627	0.399	317	0.05	12000	1000	1	500	111
Simulation_318	2.041	0.206	0.257	0.062	2	0.625	318	0.05	12000	1000	1	500	111
Simulation_319	1.035	0.704	0.131	0.135	0.745	0.172	319	0.05	12000	1000	1	500	111
Simulation_320	1.051	0.105	0.259	0.081	2.725	0.236	320	0.05	12000	1000	1	500	111
Simulation_321	2.057	0.603	0.133	0.008	1.471	0.689	321	0.05	12000	1000	1	500	111
Simulation_322	2.56	0.354	0.071	0.118	0.843	0.462	322	0.05	12000	1000	1	500	111
Simulation_323	1.554	0.852	0.196	0.045	2.098	0.915	323	0.05	12000	1000	1	500	111
Simulation_324	1.806	0.479	0.165	0.099	0.529	0.802	324	0.05	12000	1000	1	500	111
Simulation_325	2.811	0.977	0.29	0.027	1.784	0.349	325	0.05	12000	1000	1	500	111
Simulation_326	2.308	0.23	0.227	0.136	2.412	0.576	326	0.05	12000	1000	1	500	111
Simulation_327	1.303	0.728	0.102	0.063	1.157	0.123	327	0.05	12000	1000	1	500	111
Simulation_328	1.428	0.292	0.18	0.036	1.627	0.18	328	0.05	12000	1000	1	500	111
Simulation_329	2.434	0.79	0.055	0.108	2.882	0.632	329	0.05	12000	1000	1	500	111
Simulation_330	2.937	0.043	0.118	0.072	2.255	0.406	330	0.05	12000	1000	1	500	111
Simulation_331	1.931	0.541	0.243	0.145	1	0.859	331	0.05	12000	1000	1	500	111
Simulation_332	1.68	0.168	0.086	0.018	1.941	0.972	332	0.05	12000	1000	1	500	111
Simulation_333	2.686	0.665	0.212	0.09	0.686	0.519	333	0.05	12000	1000	1	500	111
Simulation_334	2.183	0.417	0.275	0.054	1.314	0.745	334	0.05	12000	1000	1	500	111
Simulation_335	1.177	0.914	0.149	0.127	2.569	0.293	335	0.05	12000	1000	1	500	111
Simulation_336	1.24	0.385	0.063	0.14	2.176	0.547	336	0.05	12000	1000	1	500	111
Simulation_337	2.246	0.883	0.188	0.068	0.922	1	337	0.05	12000	1000	1	500	111
Simulation_338	2.749	0.136	0.251	0.104	1.549	0.321	338	0.05	12000	1000	1	500	111
Simulation_339	1.743	0.634	0.125	0.031	2.804	0.774	339	0.05	12000	1000	1	500	111
Simulation_340	1.994	0.012	0.22	0.122	1.235	0.661	340	0.05	12000	1000	1	500	111
Simulation_341	3	0.51	0.094	0.049	2.49	0.208	341	0.05	12000	1000	1	500	111
Simulation_342	2.497	0.261	0.157	0.086	1.863	0.887	342	0.05	12000	1000	1	500	111
Simulation_343	1.491	0.759	0.282	0.013	0.608	0.434	343	0.05	12000	1000	1	500	111
Simulation_344	1.365	0.199	0.141	0.058	1.078	0.378	344	0.05	12000	1000	1	500	111
Simulation_345	2.371	0.697	0.267	0.131	2.333	0.83	345	0.05	12000	1000	1	500	111
Simulation_346	2.874	0.448	0.204	0.022	2.961	0.151	346	0.05	12000	1000	1	500	111
Simulation_347	1.868	0.946	0.078	0.095	1.706	0.604	347	0.05	12000	1000	1	500	111
Simulation_348	1.617	0.323	0.298	0.077	2.647	0.717	348	0.05	12000	1000	1	500	111
Simulation_349	2.623	0.821	0.173	0.149	1.392	0.264	349	0.05	12000	1000	1	500	111
Simulation_350	2.12	0.074	0.11	0.04	0.765	0.943	350	0.05	12000	1000	1	500	111
Simulation_351	1.114	0.572	0.235	0.113	2.02	0.491	351	0.05	12000	1000	1	500	111
Simulation_352	1.083	0.37	0.122	0.015	1.353	0.561	352	0.05	12000	1000	1	500	111
Simulation_353	2.088	0.868	0.247	0.088	2.608	0.109	353	0.05	12000	1000	1	500	111
Simulation_354	2.591	0.121	0.184	0.052	1.98	0.788	354	0.05	12000	1000	1	500	111
Simulation_355	1.585	0.619	0.059	0.124	0.725	0.335	355	0.05	12000	1000	1	500	111
Simulation_356	1.837	0.245	0.278	0.033	2.294	0.448	356	0.05	12000	1000	1	500	111
Simulation_357	2.843	0.743	0.153	0.106	1.039	0.901	357	0.05	12000	1000	1	500	111
Simulation_358	2.34	0.494	0.09	0.07	1.667	0.222	358	0.05	12000	1000	1	500	111
Simulation_359	1.334	0.992	0.216	0.143	2.922	0.675	359	0.05	12000	1000	1	500	111
Simulation_360	1.46	0.059	0.075	0.097	2.451	0.731	360	0.05	12000	1000	1	500	111
Simulation_361	2.466	0.557	0.2	0.024	1.196	0.279	361	0.05	12000	1000	1	500	111
Simulation_362	2.969	0.308	0.263	0.134	0.569	0.958	362	0.05	12000	1000	1	500	111
Simulation_363	1.963	0.806	0.137	0.061	1.824	0.505	363	0.05	12000	1000	1	500	111
Simulation_364	1.711	0.432	0.231	0.079	0.882	0.392	364	0.05	12000	1000	1	500	111
Simulation_365	2.717	0.93	0.106	0.006	2.137	0.844	365	0.05	12000	1000	1	500	111
Simulation_366	2.214	0.183	0.169	0.115	2.765	0.165	366	0.05	12000	1000	1	500	111
Simulation_367	1.208	0.681	0.294	0.043	1.51	0.618	367	0.05	12000	1000	1	500	111
Simulation_368	1.145	0.152	0.192	0.074	0.804	0.873	368	0.05	12000	1000	1	500	111
Simulation_369	2.151	0.65	0.067	0.147	2.059	0.42	369	0.05	12000	1000	1	500	111
Simulation_370	2.654	0.401	0.129	0.038	2.686	0.646	370	0.05	12000	1000	1	500	111
Simulation_371	1.648	0.899	0.255	0.111	1.431	0.194	371	0.05	12000	1000	1	500	111
Simulation_372	1.9	0.276	0.098	0.056	3	0.307	372	0.05	12000	1000	1	500	111
Simulation_373	2.906	0.774	0.224	0.129	1.745	0.76	373	0.05	12000	1000	1	500	111
Simulation_374	2.403	0.028	0.286	0.02	1.118	0.533	374	0.05	12000	1000	1	500	111
Simulation_375	1.397	0.525	0.161	0.093	2.373	0.986	375	0.05	12000	1000	1	500	111
Simulation_376	1.271	0.463	0.239	0.12	1.902	0.929	376	0.05	12000	1000	1	500	111
Simulation_377	2.277	0.961	0.114	0.047	0.647	0.477	377	0.05	12000	1000	1	500	111
Simulation_378	2.78	0.214	0.051	0.083	1.275	0.703	378	0.05	12000	1000	1	500	111
Simulation_379	1.774	0.712	0.176	0.011	2.529	0.25	379	0.05	12000	1000	1	500	111
Simulation_380	1.523	0.09	0.145	0.138	1.588	0.137	380	0.05	12000	1000	1	500	111
Simulation_381	2.528	0.588	0.271	0.065	2.843	0.59	381	0.05	12000	1000	1	500	111
Simulation_382	2.026	0.339	0.208	0.102	2.216	0.363	382	0.05	12000	1000	1	500	111
Simulation_383	1.02	0.837	0.082	0.029	0.961	0.816	383	0.05	12000	1000	1	500	111
Simulation_384	1.012	0.171	0.158	0.11	2.088	0.615	384	0.05	12000	1000	1	500	111
Simulation_385	2.018	0.669	0.283	0.037	0.833	0.162	385	0.05	12000	1000	1	500	111
Simulation_386	2.521	0.42	0.221	0.147	1.461	0.841	386	0.05	12000	1000	1	500	111
Simulation_387	1.515	0.918	0.095	0.074	2.716	0.388	387	0.05	12000	1000	1	500	111
Simulation_388	1.766	0.296	0.252	0.092	1.147	0.501	388	0.05	12000	1000	1	500	111
Simulation_389	2.772	0.794	0.126	0.019	2.402	0.954	389	0.05	12000	1000	1	500	111
Simulation_390	2.269	0.047	0.064	0.128	1.775	0.275	390	0.05	12000	1000	1	500	111
Simulation_391	1.263	0.545	0.189	0.056	0.52	0.728	391	0.05	12000	1000	1	500	111
Simulation_392	1.389	0.483	0.111	0.01	0.99	0.671	392	0.05	12000	1000	1	500	111
Simulation_393	2.395	0.981	0.236	0.083	2.245	0.218	393	0.05	12000	1000	1	500	111
Simulation_394	2.898	0.234	0.299	0.047	2.873	0.897	394	0.05	12000	1000	1	500	111
Simulation_395	1.892	0.732	0.174	0.119	1.618	0.445	395	0.05	12000	1000	1	500	111
Simulation_396	1.64	0.109	0.205	0.028	2.559	0.332	396	0.05	12000	1000	1	500	111
Simulation_397	2.646	0.607	0.079	0.101	1.304	0.784	397	0.05	12000	1000	1	500	111
Simulation_398	2.143	0.358	0.142	0.065	0.676	0.105	398	0.05	12000	1000	1	500	111
Simulation_399	1.138	0.856	0.268	0.137	1.931	0.558	399	0.05	12000	1000	1	500	111
Simulation_400	1.2	0.327	0.228	0.124	2.794	0.813	400	0.05	12000	1000	1	500	111
Simulation_401	2.206	0.825	0.103	0.051	1.539	0.36	401	0.05	12000	1000	1	500	111
Simulation_402	2.709	0.078	0.166	0.087	0.912	0.586	402	0.05	12000	1000	1	500	111
Simulation_403	1.703	0.576	0.291	0.015	2.167	0.134	403	0.05	12000	1000	1	500	111
Simulation_404	1.955	0.203	0.072	0.142	0.598	0.247	404	0.05	12000	1000	1	500	111
Simulation_405	2.961	0.7	0.197	0.069	1.853	0.699	405	0.05	12000	1000	1	500	111
Simulation_406	2.458	0.452	0.26	0.106	2.48	0.473	406	0.05	12000	1000	1	500	111
Simulation_407	1.452	0.949	0.134	0.033	1.225	0.926	407	0.05	12000	1000	1	500	111
Simulation_408	1.326	0.016	0.275	0.06	1.696	0.982	408	0.05	12000	1000	1	500	111
Simulation_409	2.332	0.514	0.15	0.133	2.951	0.53	409	0.05	12000	1000	1	500	111
Simulation_410	2.835	0.265	0.087	0.024	2.324	0.756	410	0.05	12000	1000	1	500	111
Simulation_411	1.829	0.763	0.213	0.097	1.069	0.303	411	0.05	12000	1000	1	500	111
Simulation_412	1.578	0.389	0.119	0.042	2.01	0.19	412	0.05	12000	1000	1	500	111
Simulation_413	2.583	0.887	0.244	0.115	0.755	0.643	413	0.05	12000	1000	1	500	111
Simulation_414	2.081	0.14	0.181	0.006	1.382	0.417	414	0.05	12000	1000	1	500	111
Simulation_415	1.075	0.638	0.056	0.078	2.637	0.869	415	0.05	12000	1000	1	500	111
Simulation_416	1.106	0.436	0.287	0.031	0.716	0.289	416	0.05	12000	1000	1	500	111
Simulation_417	2.112	0.934	0.162	0.103	1.971	0.742	417	0.05	12000	1000	1	500	111
Simulation_418	2.615	0.187	0.099	0.067	2.598	0.516	418	0.05	12000	1000	1	500	111
Simulation_419	1.609	0.685	0.225	0.14	1.343	0.968	419	0.05	12000	1000	1	500	111
Simulation_420	1.861	0.063	0.13	0.012	2.912	0.855	420	0.05	12000	1000	1	500	111
Simulation_421	2.866	0.56	0.256	0.085	1.657	0.402	421	0.05	12000	1000	1	500	111
Simulation_422	2.363	0.311	0.193	0.049	1.029	0.629	422	0.05	12000	1000	1	500	111
Simulation_423	1.358	0.809	0.068	0.122	2.284	0.176	423	0.05	12000	1000	1	500	111
Simulation_424	1.483	0.249	0.209	0.094	1.814	0.119	424	0.05	12000	1000	1	500	111
Simulation_425	2.489	0.747	0.083	0.021	0.559	0.572	425	0.05	12000	1000	1	500	111
Simulation_426	2.992	0.498	0.146	0.131	1.186	0.346	426	0.05	12000	1000	1	500	111
Simulation_427	1.986	0.996	0.272	0.058	2.441	0.798	427	0.05	12000	1000	1	500	111
Simulation_428	1.735	0.374	0.052	0.112	1.5	0.912	428	0.05	12000	1000	1	500	111
Simulation_429	2.741	0.872	0.177	0.04	2.755	0.459	429	0.05	12000	1000	1	500	111
Simulation_430	2.238	0.125	0.24	0.149	2.127	0.685	430	0.05	12000	1000	1	500	111
Simulation_431	1.232	0.623	0.115	0.076	0.873	0.233	431	0.05	12000	1000	1	500	111
Simulation_432	1.169	0.094	0.091	0.044	1.422	0.487	432	0.05	12000	1000	1	500	111
Simulation_433	2.175	0.592	0.217	0.117	2.676	0.94	433	0.05	12000	1000	1	500	111
Simulation_434	2.678	0.343	0.279	0.008	2.049	0.261	434	0.05	12000	1000	1	500	111
Simulation_435	1.672	0.841	0.154	0.081	0.794	0.714	435	0.05	12000	1000	1	500	111
Simulation_436	1.923	0.467	0.185	0.062	2.363	0.6	436	0.05	12000	1000	1	500	111
Simulation_437	2.929	0.965	0.06	0.135	1.108	0.148	437	0.05	12000	1000	1	500	111
Simulation_438	2.426	0.218	0.123	0.026	1.735	0.827	438	0.05	12000	1000	1	500	111
Simulation_439	1.42	0.716	0.248	0.099	2.99	0.374	439	0.05	12000	1000	1	500	111
Simulation_440	1.295	0.28	0.17	0.144	2.52	0.431	440	0.05	12000	1000	1	500	111
Simulation_441	2.301	0.778	0.295	0.072	1.265	0.883	441	0.05	12000	1000	1	500	111
Simulation_442	2.804	0.031	0.232	0.108	0.637	0.204	442	0.05	12000	1000	1	500	111
Simulation_443	1.798	0.529	0.107	0.035	1.892	0.657	443	0.05	12000	1000	1	500	111
Simulation_444	1.546	0.156	0.264	0.126	0.951	0.77	444	0.05	12000	1000	1	500	111
Simulation_445	2.552	0.654	0.138	0.053	2.206	0.317	445	0.05	12000	1000	1	500	111
Simulation_446	2.049	0.405	0.075	0.09	2.833	0.996	446	0.05	12000	1000	1	500	111
Simulation_447	1.043	0.903	0.201	0.017	1.578	0.544	447	0.05	12000	1000	1	500	111
Simulation_448	1.028	0.304	0.077	0.073	1.951	0.367	448	0.05	12000	1000	1	500	111
Simulation_449	2.033	0.802	0.203	0.145	0.696	0.82	449	0.05	12000	1000	1	500	111
Simulation_450	2.536	0.055	0.266	0.036	1.324	0.141	450	0.05	12000	1000	1	500	111
Simulation_451	1.53	0.553	0.14	0.109	2.578	0.593	451	0.05	12000	1000	1	500	111
Simulation_452	1.782	0.179	0.234	0.054	1.637	0.706	452	0.05	12000	1000	1	500	111
Simulation_453	2.788	0.677	0.109	0.127	2.892	0.254	453	0.05	12000	1000	1	500	111
Simulation_454	2.285	0.428	0.172	0.018	2.265	0.933	454	0.05	12000	1000	1	500	111
Simulation_455	1.279	0.926	0.297	0.091	1.01	0.48	455	0.05	12000	1000	1	500	111
Simulation_456	1.405	0.117	0.125	0.118	0.539	0.537	456	0.05	12000	1000	1	500	111
Simulation_457	2.411	0.615	0.25	0.045	1.794	0.989	457	0.05	12000	1000	1	500	111
Simulation_458	2.914	0.366	0.187	0.082	2.422	0.31	458	0.05	12000	1000	1	500	111
Simulation_459	1.908	0.864	0.062	0.009	1.167	0.763	459	0.05	12000	1000	1	500	111
Simulation_460	1.656	0.49	0.281	0.136	2.735	0.65	460	0.05	12000	1000	1	500	111
Simulation_461	2.662	0.988	0.156	0.064	1.48	0.197	461	0.05	12000	1000	1	500	111
Simulation_462	2.159	0.241	0.093	0.1	0.853	0.876	462	0.05	12000	1000	1	500	111
Simulation_463	1.153	0.739	0.219	0.027	2.108	0.424	463	0.05	12000	1000	1	500	111
Simulation_464	1.216	0.21	0.242	0.023	2.657	0.169	464	0.05	12000	1000	1	500	111
Simulation_465	2.222	0.708	0.117	0.095	1.402	0.622	465	0.05	12000	1000	1	500	111
Simulation_466	2.725	0.459	0.054	0.059	0.775	0.395	466	0.05	12000	1000	1	500	111
Simulation_467	1.719	0.957	0.179	0.132	2.029	0.848	467	0.05	12000	1000	1	500	111
Simulation_468	1.971	0.335	0.148	0.041	1.088	0.961	468	0.05	12000	1000	1	500	111
Simulation_469	2.976	0.833	0.274	0.114	2.343	0.508	469	0.05	12000	1000	1	500	111
Simulation_470	2.473	0.086	0.211	0.077	2.971	0.735	470	0.05	12000	1000	1	500	111
Simulation_471	1.468	0.584	0.085	0.15	1.716	0.282	471	0.05	12000	1000	1	500	111
Simulation_472	1.342	0.397	0.195	0.105	1.245	0.226	472	0.05	12000	1000	1	500	111
Simulation_473	2.348	0.895	0.07	0.032	2.5	0.678	473	0.05	12000	1000	1	500	111
Simulation_474	2.851	0.148	0.132	0.141	1.873	0.452	474	0.05	12000	1000	1	500	111
Simulation_475	1.845	0.646	0.258	0.068	0.618	0.905	475	0.05	12000	1000	1	500	111
Simulation_476	1.593	0.024	0.101	0.086	2.186	0.791	476	0.05	12000	1000	1	500	111
Simulation_477	2.599	0.522	0.226	0.014	0.931	0.339	477	0.05	12000	1000	1	500	111
Simulation_478	2.096	0.273	0.289	0.123	1.559	0.565	478	0.05	12000	1000	1	500	111
Simulation_479	1.09	0.77	0.164	0.05	2.814	0.112	479	0.05	12000	1000	1	500	111
Simulation_480	1.059	0.039	0.175	0.134	0.814	0.919	480	0.05	12000	1000	1	500	111
Simulation_481	2.065	0.537	0.05	0.061	2.069	0.466	481	0.05	12000	1000	1	500	111
Simulation_482	2.568	0.288	0.113	0.098	2.696	0.692	482	0.05	12000	1000	1	500	111
Simulation_483	1.562	0.786	0.238	0.025	1.441	0.24	483	0.05	12000	1000	1	500	111
Simulation_484	1.813	0.413	0.081	0.116	2.382	0.127	484	0.05	12000	1000	1	500	111
Simulation_485	2.819	0.911	0.207	0.043	1.127	0.579	485	0.05	12000	1000	1	500	111
Simulation_486	2.316	0.164	0.27	0.079	0.5	0.353	486	0.05	12000	1000	1	500	111
Simulation_487	1.31	0.662	0.144	0.007	1.755	0.806	487	0.05	12000	1000	1	500	111
Simulation_488	1.436	0.35	0.254	0.052	2.225	0.862	488	0.05	12000	1000	1	500	111
Simulation_489	2.442	0.848	0.128	0.125	0.971	0.409	489	0.05	12000	1000	1	500	111
Simulation_490	2.945	0.101	0.066	0.016	1.598	0.636	490	0.05	12000	1000	1	500	111
Simulation_491	1.939	0.599	0.191	0.089	2.853	0.183	491	0.05	12000	1000	1	500	111
Simulation_492	1.688	0.226	0.16	0.07	1.284	0.296	492	0.05	12000	1000	1	500	111
Simulation_493	2.694	0.724	0.285	0.143	2.539	0.749	493	0.05	12000	1000	1	500	111
Simulation_494	2.191	0.475	0.223	0.034	1.912	0.523	494	0.05	12000	1000	1	500	111
Simulation_495	1.185	0.973	0.097	0.107	0.657	0.975	495	0.05	12000	1000	1	500	111
Simulation_496	1.122	0.444	0.136	0.084	1.52	0.721	496	0.05	12000	1000	1	500	111
Simulation_497	2.128	0.942	0.262	0.011	2.775	0.268	497	0.05	12000	1000	1	500	111
Simulation_498	2.631	0.195	0.199	0.12	2.147	0.947	498	0.05	12000	1000	1	500	111
Simulation_499	1.625	0.693	0.074	0.048	0.892	0.494	499	0.05	12000	1000	1	500	111
Simulation_500	1.876	0.07	0.293	0.102	1.833	0.381	500	0.05	12000	1000	1	500	111
