"Sim_index" "S" "omega_T" "omega_P" "sigma_e" "disp_shape" "disp_scale" "seed" "divergence_factor" "max_species" "max_coex_sp" "start_species" "init_ab" "grid_cell_distance" "finished" "final_timestep" "initial_nb_species" "final_nb_species" "sp_events" "ex_events" "exchanged" "prop_col_area" "div_col" "dist_to_isthmus"
"163" "Simulation_163" 1.613 0.084 0.256 0.099 1.779 0.15 163 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 5678.77376808138
"164" "Simulation_164" 1.864 0.05 0.161 0.044 0.838 0.263 164 0.05 12000 1000 1 500 111 1 0 1 629 629 0 1 0.0961846745751844 180 5161.48527197625
"165" "Simulation_165" 2.87 0.095 0.286 0.117 2.093 0.715 165 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 7662.46895107446
"166" "Simulation_166" 2.367 0.027 0.097 0.008 2.721 0.489 166 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3152.07637975546
"167" "Simulation_167" 1.361 0.072 0.222 0.08 1.466 0.942 167 0.05 12000 1000 1 500 111 1 0 1 57 60 3 1 0.0711766591856364 17 4642.28137605012
"168" "Simulation_168" 1.487 0.033 0.114 0.126 1.309 0.998 168 0.05 12000 1000 1 500 111 0 66 1 2592 2596 4 0 -1 -1 6256.54466696557
"169" "Simulation_169" 2.493 0.078 0.239 0.053 2.564 0.546 169 0.05 12000 1000 1 500 111 1 0 1 6 6 0 1 0.104520679705034 4 3824.61391517291
"170" "Simulation_170" 2.996 0.01 0.05 0.089 1.936 0.772 170 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5672.07979384892
"171" "Simulation_171" 1.99 0.055 0.175 0.017 0.681 0.319 171 0.05 12000 1000 1 500 111 1 0 1 19 24 5 1 0.110291760179545 10 2475.66293097707
"172" "Simulation_172" 1.739 0.021 0.081 0.144 2.25 0.206 172 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3409.49421678416
"173" "Simulation_173" 2.745 0.067 0.208 0.071 0.995 0.659 173 0.05 12000 1000 1 500 111 1 0 1 20 21 1 1 0.0987495992305226 12 4195.26577283808
"174" "Simulation_174" 2.242 0.044 0.144 0.108 1.623 0.432 174 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4203.60101871699
"175" "Simulation_175" 1.236 0.089 0.269 0.035 2.877 0.885 175 0.05 12000 1000 1 500 111 0 62 1 1591 1592 1 1 0.167681949342738 269 2570.672375437
"176" "Simulation_176" 1.173 0.047 0.153 0.012 1.858 0.63 176 0.05 12000 1000 1 500 111 1 0 1 1759 1769 10 1 0.0769477396601475 1283 5910.10217878943
"177" "Simulation_177" 2.179 0.092 0.278 0.085 0.603 0.178 177 0.05 12000 1000 1 500 111 1 0 1 30 30 0 0 -1 -1 2622.6686517169
"178" "Simulation_178" 2.682 0.024 0.089 0.048 1.23 0.857 178 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4754.46117949401
"179" "Simulation_179" 1.676 0.069 0.214 0.121 2.485 0.404 179 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.0939403655017634 4 2951.17251504935
"180" "Simulation_180" 1.927 0.013 0.058 0.03 1.544 0.517 180 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3491.04108058917
"181" "Simulation_181" 2.933 0.058 0.183 0.103 2.799 0.97 181 0.05 12000 1000 1 500 111 1 0 1 5 5 0 0 -1 -1 6025.64965299931
"182" "Simulation_182" 2.43 0.035 0.119 0.067 2.172 0.291 182 0.05 12000 1000 1 500 111 1 0 1 30 30 0 0 -1 -1 5906.46208273957
"183" "Simulation_183" 1.424 0.081 0.247 0.139 0.917 0.744 183 0.05 12000 1000 1 500 111 1 0 1 4 6 2 1 0.145880089772363 3 5217.67214752943
"184" "Simulation_184" 1.299 0.03 0.106 0.112 0.76 0.687 184 0.05 12000 1000 1 500 111 0 9 1 1894 1932 38 0 -1 -1 5837.93542085461
"185" "Simulation_185" 2.305 0.075 0.231 0.039 2.015 0.234 185 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 3228.69291143669
"186" "Simulation_186" 2.807 0.052 0.167 0.149 2.642 0.913 186 0.05 12000 1000 1 500 111 1 0 1 19 19 0 1 0.0663674254568772 13 3232.09043241676
"187" "Simulation_187" 1.802 0.098 0.294 0.076 1.387 0.461 187 0.05 12000 1000 1 500 111 1 0 1 69 69 0 1 0.109971144597627 26 4767.47168308272
"188" "Simulation_188" 1.55 0.041 0.136 0.094 2.956 0.348 188 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 6694.84491379964
"189" "Simulation_189" 2.556 0.086 0.261 0.021 1.701 0.8 189 0.05 12000 1000 1 500 111 1 0 1 1 2 1 0 -1 -1 4016.41490496886
"190" "Simulation_190" 2.053 0.018 0.072 0.13 1.074 0.121 190 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5495.4102741795
"191" "Simulation_191" 1.047 0.064 0.2 0.058 2.328 0.574 191 0.05 12000 1000 1 500 111 0 101 1 1407 1407 0 1 0.141070856043604 435 1380.48704948844
"192" "Simulation_192" 1.031 0.028 0.1 0.041 1.132 0.737 192 0.05 12000 1000 1 500 111 1 0 1 37 49 12 1 0.0294966335363899 32 5696.84605508257
"193" "Simulation_193" 2.037 0.073 0.225 0.113 2.387 0.284 193 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.0920166720102597 4 3810.09691575515
"194" "Simulation_194" 2.54 0.05 0.161 0.077 1.76 0.963 194 0.05 12000 1000 1 500 111 1 0 1 136 137 1 0 -1 -1 6715.61562636649
"195" "Simulation_195" 1.534 0.096 0.289 0.15 0.505 0.51 195 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 3890.11096841646
"196" "Simulation_196" 1.786 0.039 0.131 0.022 2.074 0.397 196 0.05 12000 1000 1 500 111 1 0 1 2 2 0 0 -1 -1 3400.274445529
"197" "Simulation_197" 2.792 0.084 0.256 0.095 0.819 0.85 197 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 3948.77228811424
"198" "Simulation_198" 2.289 0.016 0.067 0.059 1.446 0.171 198 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4563.6617277319
"199" "Simulation_199" 1.283 0.062 0.194 0.132 2.701 0.623 199 0.05 12000 1000 1 500 111 0 60 1 1665 1665 0 1 0.112215453671048 977 2665.82546535253
"200" "Simulation_200" 1.409 0.045 0.147 0.086 2.544 0.567 200 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5347.12106220606
"201" "Simulation_201" 2.415 0.09 0.272 0.013 1.289 0.114 201 0.05 12000 1000 1 500 111 1 0 1 13 14 1 1 0.167040718178904 2 5957.37845727591
"202" "Simulation_202" 2.917 0.022 0.083 0.122 0.662 0.793 202 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5188.69825445724
"203" "Simulation_203" 1.912 0.067 0.208 0.05 1.917 0.34 203 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.134017313241424 2 4762.39780099052
"204" "Simulation_204" 1.66 0.011 0.053 0.104 0.975 0.454 204 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4503.06159515754
"205" "Simulation_205" 2.666 0.056 0.178 0.031 2.23 0.906 205 0.05 12000 1000 1 500 111 1 0 1 92 92 0 0 -1 -1 5684.26398167684
"206" "Simulation_206" 2.163 0.033 0.114 0.141 2.858 0.227 206 0.05 12000 1000 1 500 111 1 0 1 14 14 0 0 -1 -1 5472.19659732049
"207" "Simulation_207" 1.157 0.079 0.242 0.068 1.603 0.68 207 0.05 12000 1000 1 500 111 0 101 1 1729 1731 2 1 0.185957037512023 288 1688.01542915468
"208" "Simulation_208" 1.22 0.036 0.122 0.054 0.583 0.935 208 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 3152.07637975546
"209" "Simulation_209" 2.226 0.081 0.247 0.127 1.838 0.482 209 0.05 12000 1000 1 500 111 1 0 1 13 13 0 1 0.142353318371273 6 3995.5095174452
"210" "Simulation_210" 2.729 0.014 0.061 0.018 2.466 0.708 210 0.05 12000 1000 1 500 111 1 0 1 3 4 1 0 -1 -1 5638.31418792491
"211" "Simulation_211" 1.723 0.059 0.186 0.091 1.211 0.256 211 0.05 12000 1000 1 500 111 1 0 1 389 390 1 1 0.129208079512664 80 5440.66036523977
"212" "Simulation_212" 1.974 0.025 0.092 0.072 2.779 0.142 212 0.05 12000 1000 1 500 111 1 0 1 8 8 0 0 -1 -1 1488.63212697752
"213" "Simulation_213" 2.98 0.07 0.217 0.145 1.525 0.595 213 0.05 12000 1000 1 500 111 1 0 1 30 30 0 1 0.101635139467778 8 2369.72510954912
"214" "Simulation_214" 2.477 0.047 0.153 0.036 0.897 0.369 214 0.05 12000 1000 1 500 111 1 0 1 211 211 0 1 0.104841295286951 34 2413.46764723992
"215" "Simulation_215" 1.472 0.093 0.281 0.109 2.152 0.821 215 0.05 12000 1000 1 500 111 1 0 1 394 399 5 1 0.143635780698942 66 3592.39963287354
"216" "Simulation_216" 1.346 0.019 0.075 0.136 1.995 0.878 216 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4320.22410453078
"217" "Simulation_217" 2.352 0.064 0.2 0.063 0.74 0.425 217 0.05 12000 1000 1 500 111 1 0 1 4 4 0 0 -1 -1 2113.33291478075
"218" "Simulation_218" 2.855 0.042 0.139 0.1 1.368 0.652 218 0.05 12000 1000 1 500 111 1 0 1 23 23 0 1 0.0772683552420648 14 1891.08624839857
"219" "Simulation_219" 1.849 0.087 0.264 0.027 2.623 0.199 219 0.05 12000 1000 1 500 111 1 0 1 8 8 0 1 0.137544084642514 4 2001.79156550654
"220" "Simulation_220" 1.597 0.053 0.169 0.118 1.681 0.312 220 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.0904135941006733 4 3840.57503241768
"221" "Simulation_221" 2.603 0.098 0.294 0.045 2.936 0.765 221 0.05 12000 1000 1 500 111 1 0 1 5 5 0 1 0.162872715613979 4 5115.42775097472
"222" "Simulation_222" 2.1 0.031 0.108 0.081 2.309 0.539 222 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5405.81679193886
"223" "Simulation_223" 1.094 0.076 0.233 0.009 1.054 0.991 223 0.05 12000 1000 1 500 111 1 0 1 5 5 0 1 0.167361333760821 5 5614.85917683455
"224" "Simulation_224" 1.063 0.052 0.167 0.102 2.897 0.157 224 0.05 12000 1000 1 500 111 1 0 1 24 25 1 1 0.0939403655017634 20 5420.8688366368
"225" "Simulation_225" 2.069 0.097 0.292 0.029 1.642 0.609 225 0.05 12000 1000 1 500 111 1 0 1 18 18 0 0 -1 -1 6309.22873511817
"226" "Simulation_226" 2.572 0.029 0.103 0.138 1.015 0.383 226 0.05 12000 1000 1 500 111 1 0 1 84 87 3 0 -1 -1 4859.78538620561
"227" "Simulation_227" 1.566 0.074 0.228 0.066 2.27 0.836 227 0.05 12000 1000 1 500 111 1 0 1 1128 1142 14 1 0.103558832959282 274 4313.27110805027
"228" "Simulation_228" 1.817 0.018 0.072 0.084 0.701 0.949 228 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5168.35392382117
"229" "Simulation_229" 2.823 0.063 0.197 0.011 1.956 0.496 229 0.05 12000 1000 1 500 111 1 0 1 11 11 0 1 0.12504007694774 7 2398.90275384023
"230" "Simulation_230" 2.32 0.04 0.133 0.12 2.583 0.722 230 0.05 12000 1000 1 500 111 1 0 1 37 37 0 1 0.041038794485412 18 2099.26156008621
"231" "Simulation_231" 1.314 0.086 0.261 0.047 1.328 0.27 231 0.05 12000 1000 1 500 111 1 0 1 1868 1872 4 0 -1 -1 4993.78652281484
"232" "Simulation_232" 1.44 0.023 0.086 0.02 1.485 0.213 232 0.05 12000 1000 1 500 111 1 0 1 8 30 22 0 -1 -1 5052.00101366493
"233" "Simulation_233" 2.446 0.069 0.214 0.093 2.74 0.666 233 0.05 12000 1000 1 500 111 1 0 1 11 11 0 1 0.0400769477396601 -1 5339.02597955705
"234" "Simulation_234" 2.949 0.046 0.15 0.056 2.113 0.439 234 0.05 12000 1000 1 500 111 1 0 1 6 6 0 0 -1 -1 2961.81809390633
"235" "Simulation_235" 1.943 0.091 0.275 0.129 0.858 0.892 235 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 5168.35392382117
"236" "Simulation_236" 1.692 0.035 0.119 0.038 1.799 0.779 236 0.05 12000 1000 1 500 111 1 0 1 1688 1689 1 1 0.0618788073100353 1114 4945.18671954035
"237" "Simulation_237" 2.697 0.08 0.244 0.111 0.544 0.326 237 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 5582.11990377634
"238" "Simulation_238" 2.194 0.012 0.056 0.075 1.172 0.553 238 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5077.587288761
"239" "Simulation_239" 1.189 0.057 0.181 0.147 2.426 0.1 239 0.05 12000 1000 1 500 111 1 0 1 12 12 0 1 0.0509778775248477 8 2903.08016441691
"240" "Simulation_240" 1.126 0.015 0.064 0.116 2.348 0.355 240 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 7204.84785301193
"241" "Simulation_241" 2.132 0.06 0.189 0.043 1.093 0.807 241 0.05 12000 1000 1 500 111 1 0 1 3 3 0 1 0.125360692529657 2 5077.587288761
"242" "Simulation_242" 2.635 0.038 0.128 0.079 1.721 0.128 242 0.05 12000 1000 1 500 111 1 0 1 211 211 0 1 0.0791920487335685 58 2819.66859077554
"243" "Simulation_243" 1.629 0.083 0.253 0.006 2.975 0.581 243 0.05 12000 1000 1 500 111 1 0 1 62 62 0 1 0.111253606925297 21 4626.6137247115
"244" "Simulation_244" 1.88 0.049 0.158 0.134 1.407 0.694 244 0.05 12000 1000 1 500 111 1 0 1 104 105 1 0 -1 -1 4124.35103891773
"245" "Simulation_245" 2.886 0.094 0.283 0.061 2.662 0.241 245 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 6417.00313633296
"246" "Simulation_246" 2.383 0.026 0.094 0.097 2.034 0.92 246 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5477.32370912799
"247" "Simulation_247" 1.377 0.072 0.222 0.025 0.779 0.468 247 0.05 12000 1000 1 500 111 1 0 1 2 2 0 0 -1 -1 1400.05747681967
"248" "Simulation_248" 1.251 0.043 0.142 0.07 0.936 0.524 248 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3639.01705786008
"249" "Simulation_249" 2.257 0.089 0.269 0.143 2.191 0.977 249 0.05 12000 1000 1 500 111 1 0 1 10 10 0 1 0.146841936518115 6 2869.49786488479
"250" "Simulation_250" 2.76 0.021 0.081 0.034 2.819 0.298 250 0.05 12000 1000 1 500 111 1 0 1 2 3 1 0 -1 -1 5330.93021390016
"251" "Simulation_251" 1.754 0.066 0.206 0.106 1.564 0.751 251 0.05 12000 1000 1 500 111 1 0 1 262 263 1 1 0.105161910868868 110 2585.33302031035
"252" "Simulation_252" 1.503 0.032 0.111 0.052 2.505 0.638 252 0.05 12000 1000 1 500 111 1 0 1 964 964 0 1 0.0250080153895479 26 4913.30709882045
"253" "Simulation_253" 2.509 0.077 0.236 0.125 1.25 0.185 253 0.05 12000 1000 1 500 111 1 0 1 5 5 0 1 0.135941006732927 2 1890.59646432906
"254" "Simulation_254" 2.006 0.055 0.175 0.016 0.623 0.864 254 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 3056.92328983993
"255" "Simulation_255" 1 0.1 0.3 0.088 1.877 0.411 255 0.05 12000 1000 1 500 111 0 1 1 1649 1649 0 1 0.163193331195896 591 3592.39963287354
"256" "Simulation_256" 1.004 0.055 0.175 0.046 2.588 0.979 256 0.05 12000 1000 1 500 111 0 132 1 1309 1315 6 1 0.12151330554665 353 1537.63194441786
"257" "Simulation_257" 2.01 0.1 0.3 0.119 1.333 0.526 257 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.207117665918564 2 5413.35347458846
"258" "Simulation_258" 2.513 0.032 0.111 0.01 0.706 0.752 258 0.05 12000 1000 1 500 111 1 0 1 29 29 0 1 0.0788714331516512 14 5621.31232499308
"259" "Simulation_259" 1.507 0.077 0.236 0.082 1.961 0.3 259 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.130169926258416 2 4041.5550626708
"260" "Simulation_260" 1.758 0.021 0.081 0.064 1.02 0.187 260 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4029.43709442172
"261" "Simulation_261" 2.764 0.066 0.206 0.137 2.275 0.639 261 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.0913754408464251 4 3107.66175453888
"262" "Simulation_262" 2.261 0.043 0.142 0.028 2.902 0.413 262 0.05 12000 1000 1 500 111 1 0 1 4 4 0 0 -1 -1 4407.98022288421
"263" "Simulation_263" 1.255 0.089 0.269 0.101 1.647 0.866 263 0.05 12000 1000 1 500 111 1 0 1 1187 1191 4 1 0.0958640589932671 413 5033.96422479093
"264" "Simulation_264" 1.381 0.026 0.094 0.146 1.176 0.809 264 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 5032.49487561865
"265" "Simulation_265" 2.387 0.072 0.222 0.073 2.431 0.356 265 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.105161910868868 2 1989.59147075293
"266" "Simulation_266" 2.89 0.049 0.158 0.11 1.804 0.583 266 0.05 12000 1000 1 500 111 1 0 1 15 15 0 1 0.0676498877845463 10 3656.56043940097
"267" "Simulation_267" 1.884 0.094 0.283 0.037 0.549 0.13 267 0.05 12000 1000 1 500 111 1 0 1 30 37 7 0 -1 -1 6194.31245029934
"268" "Simulation_268" 1.633 0.038 0.128 0.128 2.118 0.243 268 0.05 12000 1000 1 500 111 1 0 1 4 4 0 0 -1 -1 5013.90506755033
"269" "Simulation_269" 2.639 0.083 0.253 0.055 0.863 0.696 269 0.05 12000 1000 1 500 111 1 0 1 2 3 1 1 0.121833921128567 2 3079.83892436832
"270" "Simulation_270" 2.136 0.015 0.064 0.091 1.49 0.47 270 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 2629.2964920083
"271" "Simulation_271" 1.13 0.06 0.189 0.019 2.745 0.922 271 0.05 12000 1000 1 500 111 0 2 1 1936 2052 116 1 0.106444373196537 1302 4281.50773110594
"272" "Simulation_272" 1.193 0.012 0.056 0.023 2.039 0.668 272 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4914.65066317811
"273" "Simulation_273" 2.198 0.058 0.183 0.096 0.784 0.215 273 0.05 12000 1000 1 500 111 1 0 1 176 189 13 1 0.0654055787111254 103 4548.13150441615
"274" "Simulation_274" 2.701 0.035 0.119 0.06 1.412 0.894 274 0.05 12000 1000 1 500 111 1 0 1 3 4 1 1 0.0282141712087207 3 5762.20139101332
"275" "Simulation_275" 1.695 0.08 0.244 0.132 2.667 0.441 275 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.120551458800898 2 2165.04557575591
"276" "Simulation_276" 1.947 0.046 0.15 0.005 1.725 0.328 276 0.05 12000 1000 1 500 111 1 0 1 2 3 1 0 -1 -1 2270.28659875768
"277" "Simulation_277" 2.953 0.092 0.278 0.078 2.98 0.781 277 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 6605.96951441133
"278" "Simulation_278" 2.45 0.024 0.089 0.041 2.353 0.102 278 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 2702.41382667255
"279" "Simulation_279" 1.444 0.069 0.214 0.114 1.098 0.554 279 0.05 12000 1000 1 500 111 1 0 1 977 982 5 1 0.101955755049695 289 4242.20906189256
"280" "Simulation_280" 1.318 0.041 0.136 0.087 0.627 0.611 280 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.0862455915357486 2 5594.7572319928
"281" "Simulation_281" 2.324 0.086 0.261 0.014 1.882 0.158 281 0.05 12000 1000 1 500 111 1 0 1 4 4 0 1 0.136261622314845 2 5013.90506755033
"282" "Simulation_282" 2.827 0.018 0.072 0.123 2.51 0.837 282 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4974.49486322676
"283" "Simulation_283" 1.821 0.063 0.197 0.05 1.255 0.385 283 0.05 12000 1000 1 500 111 1 0 1 304 305 1 1 0.138826546970183 2 5430.70093836223
"284" "Simulation_284" 1.57 0.029 0.103 0.105 2.824 0.498 284 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 2277.622043322
"285" "Simulation_285" 2.576 0.075 0.231 0.032 1.569 0.95 285 0.05 12000 1000 1 500 111 1 0 1 13 14 1 0 -1 -1 5839.15859748696
"286" "Simulation_286" 2.073 0.052 0.167 0.141 0.941 0.272 286 0.05 12000 1000 1 500 111 1 0 1 222 223 1 0 -1 -1 4079.4835619875
"287" "Simulation_287" 1.067 0.097 0.292 0.069 2.196 0.724 287 0.05 12000 1000 1 500 111 1 0 1 342 342 0 0 -1 -1 6014.88820067733
"288" "Simulation_288" 1.098 0.031 0.108 0.13 1.451 0.427 288 0.05 12000 1000 1 500 111 1 0 1 4 10 6 0 -1 -1 5473.16640617359
"289" "Simulation_289" 2.104 0.076 0.233 0.057 2.706 0.88 289 0.05 12000 1000 1 500 111 1 0 1 39 39 0 1 0.159025328630971 22 5885.68916652343
"290" "Simulation_290" 2.607 0.053 0.169 0.094 2.078 0.201 290 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4391.17782043922
"291" "Simulation_291" 1.601 0.099 0.297 0.021 0.824 0.653 291 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 3166.59337917321
"292" "Simulation_292" 1.853 0.042 0.139 0.148 1.765 0.767 292 0.05 12000 1000 1 500 111 1 0 1 129 129 0 1 0.0734209682590574 74 1825.26745419838
"293" "Simulation_293" 2.859 0.087 0.264 0.076 0.51 0.314 293 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 4108.48427324893
"294" "Simulation_294" 2.356 0.019 0.075 0.112 1.137 0.993 294 0.05 12000 1000 1 500 111 1 0 1 17 20 3 0 -1 -1 5871.86260409077
"295" "Simulation_295" 1.35 0.065 0.203 0.039 2.392 0.54 295 0.05 12000 1000 1 500 111 0 190 1 1846 1846 0 0 -1 -1 7551.27384989697
"296" "Simulation_296" 1.475 0.048 0.156 0.066 2.863 0.484 296 0.05 12000 1000 1 500 111 1 0 1 4 4 0 0 -1 -1 5056.49128616406
"297" "Simulation_297" 2.481 0.093 0.281 0.139 1.608 0.936 297 0.05 12000 1000 1 500 111 1 0 1 11 13 2 0 -1 -1 3664.01509560177
"298" "Simulation_298" 2.984 0.025 0.092 0.03 0.98 0.257 298 0.05 12000 1000 1 500 111 1 0 1 267 267 0 0 -1 -1 6328.12773694465
"299" "Simulation_299" 1.978 0.07 0.217 0.103 2.235 0.71 299 0.05 12000 1000 1 500 111 1 0 1 72 72 0 0 -1 -1 6183.17901948706
"300" "Simulation_300" 1.727 0.014 0.061 0.048 0.667 0.597 300 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 2804.68998917195
"301" "Simulation_301" 2.733 0.059 0.186 0.121 1.922 0.144 301 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 5365.28832026854
"302" "Simulation_302" 2.23 0.036 0.122 0.012 2.549 0.823 302 0.05 12000 1000 1 500 111 1 0 1 4 5 1 0 -1 -1 7044.47970817281
"303" "Simulation_303" 1.224 0.082 0.25 0.085 1.294 0.371 303 0.05 12000 1000 1 500 111 1 0 1 216 216 0 0 -1 -1 7831.80941322771
"304" "Simulation_304" 1.161 0.034 0.117 0.107 0.902 0.116 304 0.05 12000 1000 1 500 111 1 0 1 196 196 0 0 -1 -1 4322.02761595036
"305" "Simulation_305" 2.167 0.079 0.242 0.035 2.157 0.569 305 0.05 12000 1000 1 500 111 1 0 1 64 64 0 0 -1 -1 6348.64156006907
"306" "Simulation_306" 2.67 0.011 0.053 0.144 2.784 0.342 306 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 7983.6670484006
"307" "Simulation_307" 1.664 0.056 0.178 0.071 1.529 0.795 307 0.05 12000 1000 1 500 111 1 0 1 84 87 3 1 0.071817890349471 36 5980.73027336369
"308" "Simulation_308" 1.916 0.022 0.083 0.089 2.471 0.908 308 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3777.04335810311
"309" "Simulation_309" 2.921 0.067 0.208 0.016 1.216 0.455 309 0.05 12000 1000 1 500 111 1 0 1 36 36 0 1 0.113818531580635 11 1912.6518394373
"310" "Simulation_310" 2.418 0.045 0.147 0.126 0.588 0.682 310 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 2819.66859077554
"311" "Simulation_311" 1.413 0.09 0.272 0.053 1.843 0.229 311 0.05 12000 1000 1 500 111 1 0 1 2 2 0 1 0.157101635139468 -1 5230.99709327699
"312" "Simulation_312" 1.287 0.017 0.069 0.007 2.314 0.286 312 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 6082.3581483273
"313" "Simulation_313" 2.293 0.062 0.194 0.08 1.059 0.738 313 0.05 12000 1000 1 500 111 1 0 1 25 26 1 1 0.0872074382815005 17 4611.64997688507
"314" "Simulation_314" 2.796 0.039 0.131 0.044 1.686 0.512 314 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3106.90012538416
"315" "Simulation_315" 1.79 0.084 0.256 0.116 2.941 0.965 315 0.05 12000 1000 1 500 111 1 0 1 872 872 0 1 0.159987175376723 384 5122.88142707304
"316" "Simulation_316" 1.538 0.05 0.161 0.025 1.373 0.851 316 0.05 12000 1000 1 500 111 1 0 1 101 102 1 0 -1 -1 7614.23645528226
"317" "Simulation_317" 2.544 0.096 0.289 0.098 2.627 0.399 317 0.05 12000 1000 1 500 111 1 0 1 1 1 0 0 -1 -1 3664.01509560177
"318" "Simulation_318" 2.041 0.028 0.1 0.062 2 0.625 318 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 3089.94092928597
"319" "Simulation_319" 1.035 0.073 0.225 0.135 0.745 0.172 319 0.05 12000 1000 1 500 111 0 136 1 1541 1543 2 1 0.125681308111574 441 3122.42034308348
"320" "Simulation_320" 1.051 0.019 0.075 0.081 2.725 0.236 320 0.05 12000 1000 1 500 111 1 0 1 6 12 6 0 -1 -1 6038.74276441018
"321" "Simulation_321" 2.057 0.064 0.2 0.008 1.471 0.689 321 0.05 12000 1000 1 500 111 1 0 1 4 5 1 0 -1 -1 4169.44345206007
"322" "Simulation_322" 2.56 0.041 0.136 0.118 0.843 0.462 322 0.05 12000 1000 1 500 111 1 0 1 750 751 1 0 -1 -1 6725.95213338675
"323" "Simulation_323" 1.554 0.087 0.264 0.045 2.098 0.915 323 0.05 12000 1000 1 500 111 1 0 1 49 49 0 0 -1 -1 5145.8419511955
"324" "Simulation_324" 1.806 0.053 0.169 0.099 0.529 0.802 324 0.05 12000 1000 1 500 111 1 0 1 1 1 0 1 -1 -1 4456.51083911879
"325" "Simulation_325" 2.811 0.098 0.294 0.027 1.784 0.349 325 0.05 12000 1000 1 500 111 1 0 1 5 5 0 1 0.112536069252966 2 4657.80159374944
"326" "Simulation_326" 2.308 0.03 0.106 0.136 2.412 0.576 326 0.05 12000 1000 1 500 111 1 0 1 0 1 1 -1 -1 -1 4458.19767252715
